number_id,client_id,expiration,CVC,loc_latitude,loc_longitude,extract_limit,amount_avg_withdrawal,amount_std_withdrawal,withdrawal_day,amount_avg_deposit,amount_std_deposit,deposit_day,inquiry_day,amount_avg_transfer,amount_std_transfer,transfer_day
c-NIGER-0,0,2050-01-17,999,8.92926,7.398833,121590.9,24318.18,28174.96,0.2411,11500.0,5889.33,0.0548,0.0493,21448.28,20500.15,0.0795
c-NIGER-1,1,2050-01-17,999,6.59562,3.499978,121488.1,24297.62,25813.87,0.2301,14444.44,6554.95,0.0493,0.0575,19542.86,19223.67,0.0959
c-NIGER-2,2,2050-01-17,999,11.858299,8.48634,90641.05,18128.21,19579.87,0.3205,10631.58,5272.68,0.0521,0.0575,23307.69,25580.78,0.1068
c-NIGER-3,3,2050-01-17,999,11.972605,8.38328,138707.85,27741.57,28437.14,0.2438,11642.86,6558.7,0.0384,0.0438,19073.17,22605.74,0.1123
c-NIGER-4,4,2050-01-17,999,6.487036,3.251398,112834.2,22566.84,26236.51,0.5123,11410.26,5669.48,0.1068,0.0904,20693.33,24480.53,0.2055
c-NIGER-5,5,2050-01-17,999,11.871735,8.558087,103102.05,20620.41,22703.51,0.6712,11522.73,5740.47,0.1205,0.1123,18130.95,20096.62,0.2301
c-NIGER-6,6,2050-01-17,999,6.197166,7.406815,111642.5,22328.5,23563.76,0.5671,12416.67,5968.37,0.0986,0.1288,21886.6,22669.21,0.2658
c-NIGER-7,7,2050-01-17,999,11.832743,8.631397,105809.5,21161.9,23607.01,0.2877,11620.69,5876.19,0.0795,0.0438,27078.95,31634.21,0.1041
c-NIGER-8,8,2050-01-17,999,6.363886,7.457533,102500.0,20500.0,21212.73,0.3452,11117.65,6040.31,0.0466,0.0466,19100.0,20053.52,0.1096
c-NIGER-9,9,2050-01-17,999,6.282003,7.514114,126631.6,25326.32,23950.94,0.2603,11933.33,6052.94,0.0411,0.0438,27157.89,24387.11,0.1041
